Artifact,Tool,Location,version,download method,Install Method,zip-url
Forensics,AIM,https://arsenalrecon.com/downloads,Arsenal-Image-Mounter-v3.12.331.zip,whit-DL-FT-urls,App Install,https://mega.nz/file/zkxRCYjL#vbHEgZdFtLoIYNVvZNBID3cp642YOJO5SXH5atMhQ4I
Imaging,FTK,http://accessdata.com/support/adownloads#FTKImager,FTK Imager Pro 8.2 SP1,whit-DL-FT-urls,App Install,https://d1kpmuwb7gvu1i.cloudfront.net/Special/ImagerPro/FTK%20Imager%208.2.0_SP1.iso
Util,OSFMount,https://www.osforensics.com/products/index.php,osfmount.exe,whit-DL-FT-urls,App Install,https://www.osforensics.com/downloads/osfmount.exe
Forensics,CDQR,https://github.com/orlikoski/CDQR/releases/tag/20191226,CDQR 20191226  cdqr.exe,whit-DL-FT-urls,exe,https://github.com/orlikoski/CDQR/releases/download/20191226/cdqr.exe
Triage,Velociraptor,https://docs.velociraptor.app/downloads/,velociraptor-v0.75.5-windows-amd64.exe,whit-DL-FT-urls,ZIP,https://github.com/Velocidex/velociraptor/archive/refs/heads/master.zip
Live CD,CAINE,http://www.caine-live.net/,,manual,ISO,
Live CD,SIFT,http://computer-forensics.sans.org/community/downloads,,manual,ISO,
Live CD,PALADIN,https://sumuri.com/software/paladin/,paladin-9.2.1.lts-amd64-build-3040-2025.10.28.zip,manual,ISO,MD5: d9f5141bf668bef7d11143af0baed93c
Registry,Fred, https://www.sits.lu/fred,,manual,linux,
Util,Nirsoft tools,https://launcher.nirsoft.net/downloads/index.html,nirsoft_package_enc_1.30.21.zip,,NirLauncher ,
EZ,Eric Zimmermans Tools,https://ericzimmerman.github.io/#!index.md,Get-ZimmermanTools.zip,manual,PS,
Forensics,BMC tool for RDP,https://github.com/gunner4361/bmc-tools,bmc-tools-master.zip,whit-DL-FT-from-gh,ZIP,
Memory,Volatility,https://github.com/volatilityfoundation/volatility3,Volatility 2.6,whit-DL-FT-urls,python,
Memory,Volatility,https://github.com/volatilityfoundation/volatility3,Volatility 3 2.26.2,,Python,
UAL,KStrike,https://github.com/gunner4361/KStrike,KStrike-master.zip,,python,
USNJ,Usnjrnl Rewind,https://github.com/gunner4361/usnjrnl_rewind,usnjrnl_rewind-main.zip,,python,
Imaging,DD,http://www.chrysocome.net/download,dd-0.6beta3.zip,whit-DL-FT-urls,Stored for Client use,http://www.chrysocome.net/downloads/dd-0.3.zip
Imaging,dc3dd,https://sourceforge.net/projects/dc3dd/files/dc3dd/7.2%20-%20Windows/,dc3dd-windows-64bit-7-2-641.zip,whit-DL-FT-urls,Stored for Client use,
Memory,DumpIT,Magnet,Comae-Toolkit-v20230117.zip,manual,Stored for Client use,
Memory,Pmem,https://github.com/Velocidex/WinPmem/,winpmem_mini_x64_rc2.exe,whit-DL-FT-urls,Stored for Client use,
Triage,CYLR,https://github.com/orlikoski/CyLR/releases/tag/2.2.0,CyLR 3.0,whit-DL-FT-urls,Stored for Client use,https://github.com/orlikoski/CyLR/releases/download/2.2.0/CyLR_win-x64.zip
Triage,UAC Unix Like Artifac collector,https://github.com/tclahr/uac,uac-3.2.0.tar.gz,whit-DL-FT-urls,Stored for Client use,
Util,dngrep,https://github.com/gunner4361/dnGrep,dnGrep-master.zip,winget,winget install -e --id dnGrep.dnGrep,
Util,Git,https://git-scm.com/install/,Git-2.52.0-64-bit.exe,winget,winget install -e --id Git.Git,
Util ,Greenshot,https://getgreenshot.org/,Greenshot-INSTALLER-1.3.304-RELEASE.exe,winget,winget install -e --id Greenshot.Greenshot,
network,nmap,https://nmap.org/download,nmap-7.98-setup.exe,manual,winget install -e --id Insecure.Nmap,https://nmap.org/dist/nmap-7.98-setup.exe
network,putty,https://www.chiark.greenend.org.uk/~sgtatham/putty/latest.html,putty-64bit-0.83-installer.msi,winget,winget install -e --id PuTTY.PuTTY,
Forensics,Autopsy,http://www.autopsy.com/,autopsy-4.22.1-64bit.msi,,winget install -e --id SleuthKit.Autopsy,
Util,Ventoy,https://github.com/ventoy/Ventoy,ventoy-1.1.07-windows.zip,,winget install -e --id ventoy.Ventoy,
Util,7zip, https://github.com/ip7z/7zip,7z2501-x64.exe,,Winget install -e 7-Zip,
